Topic,Characteristics,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
,    *Old Age Security pension  Guaranteed Income Supplement  Allowance or Allowance for the Survivor;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *retirement  disability and survivor benefits from Canada Pension Plan and Québec Pension Plan;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *benefits from Employment Insurance and Québec parental insurance plan;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *child benefits from federal and provincial programs;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *social assistance benefits;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *workers' compensation benefits;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *Working income tax benefit;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *Goods and services tax credit and harmonized sales tax credit;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *other income from government sources.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,Employment income - All income received as wages  salaries and commissions from paid employment and net self-employment income from farm or non-farm unincorporated business and/or professional practice during the reference period.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,For the 2016 Census  the reference period is the calendar year 2015 for all income variables.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,Median income - The median income of a specified group is the amount that divides the income distribution of that group into two halves  i.e.  the incomes of half of the units in that group are below the median  while those of the other half are above the median. Median incomes of individuals are calculated for those with income (positive or negative).,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
22, Total income - The sum of certain incomes (in cash and  in some circumstances  in kind) of the statistical unit during a specified reference period. The components used to calculate total income vary between:,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *statistical units of social statistical programs such as persons  private households  census families and economic families;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *statistical units of business statistical programs such as enterprises  companies  establishments and locations;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *statistical units of farm statistical programs such as farm operator and farm family.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,In the context of persons  total income refers to receipts from certain sources  before income taxes and deductions  during a specified reference period.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,In the context of census families  total income refers to receipts from certain sources of all of its family members  before income taxes and deductions  during a specified reference period.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,In the context of economic families  total income refers to receipts from certain sources of all of its family members  before income taxes and deductions  during a specified reference period.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,In the context of households  total income refers to receipts from certain sources of all household members  before income taxes and deductions  during a specified reference period.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,The monetary receipts included are those that tend to be of a regular and recurring nature. Receipts that are included as income are:,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *employment income from wages  salaries  tips  commissions and net income from self-employment (for both unincorporated farm and non-farm activities);,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *income from investment sources  such as dividends and interest on bonds  accounts  guaranteed investment certificates (GICs) and mutual funds;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *income from employer and personal pension sources  such as private pensions and payments from annuities and registered retirement income funds (RRIFs);,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *other regular cash income  such as child support payments received  spousal support payments (alimony) received and scholarships;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *income from government sources  such as social assistance  child benefits  Employment Insurance benefits  Old Age Security benefits  Canada Pension Plan and Québec Pension Plan benefits and disability income.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,Receipts excluded from this income definition are:,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *one-time receipts  such as lottery winnings  gambling winnings  cash inheritances  lump-sum insurance settlements and tax-free savings account (TFSA) or registered retirement savings plan (RRSP) withdrawals;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *capital gains because they are not by their nature regular and recurring. It is further assumed that they are more relevant to the concept of wealth than the concept of income;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *employers' contributions to registered pension plans  Canada Pension Plan  Québec Pension Plan and Employment Insurance;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *voluntary inter-household transfers  imputed rent  goods and services produced for barter and goods produced for own consumption.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,After-tax income - Total income less income taxes of the statistical unit during a specified reference period. Income taxes refers to the sum of federal income taxes  provincial and territorial income taxes  less abatement where applicable. Provincial and territorial income taxes include health care premiums in certain jurisdictions. Abatement reduces the federal income taxes payable by persons residing in Quebec or in certain self-governing Yukon First Nation settlement lands.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,Market income - The sum of employment income (wages  salaries and commissions  net self-employment income from farm or non-farm unincorporated business and/or professional practice)  investment income  private retirement income (retirement pensions  superannuation and annuities  including those from registered retirement savings plans [RRSPs] and registered retirement income funds [RRIFs]) and other money income from market sources during the reference period. It is equivalent to total income minus government transfers. It is also referred to as income before transfers and taxes.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,Government transfers - All cash benefits received from federal  provincial  territorial or municipal governments during the reference period. It includes:,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *Old Age Security pension  Guaranteed Income Supplement  Allowance or Allowance for the Survivor;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *retirement  disability and survivor benefits from Canada Pension Plan and Québec Pension Plan;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *benefits from Employment Insurance and Québec parental insurance plan;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *child benefits from federal and provincial programs;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *social assistance benefits;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *workers' compensation benefits;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *Working income tax benefit;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *Goods and services tax credit and harmonized sales tax credit;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *other income from government sources.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,Employment income - All income received as wages  salaries and commissions from paid employment and net self-employment income from farm or non-farm unincorporated business and/or professional practice during the reference period.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,For the 2016 Census  the reference period is the calendar year 2015 for all income variables.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,Average income of a specified group is calculated by dividing the aggregate income of that group by the number of units in that group. Average incomes of individuals are calculated for those with income (positive or negative).,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
23, Employment income - All income received as wages  salaries and commissions from paid employment and net self-employment income from farm or non-farm unincorporated business and/or professional practice during the reference period.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,For the 2016 Census  the reference period is the calendar year 2015 for all income variables.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
24, Full-year full-time workers - Persons aged 15 years and over who worked mostly full time (30 hours or more per week) and full year (49 weeks and over per year) in 2015. For more information  see variable work activity in 2015  Dictionary  Census of Population  2016.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
25, Median income - The median income of a specified group is the amount that divides the income distribution of that group into two halves  i.e.  the incomes of half of the units in that group are below the median  while those of the other half are above the median.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,Median incomes of individuals are calculated for those with income (positive or negative).,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
26, Average income - Average income of a specified group is calculated by dividing the aggregate income of that group by the number of units in that group.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,Average incomes of individuals are calculated for those with income (positive or negative).,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
27, Composition of total income - The composition of the total income of a population group or a geographic area refers to the relative share of each income source or group of sources  expressed as a percentage of the aggregate total income of that group or area.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,For the 2016 Census  the reference period is the calendar year 2015 for all income variables.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
28, Market income - The sum of employment income (wages  salaries and commissions  net self-employment income from farm or non-farm unincorporated business and/or professional practice)  investment income  private retirement income (retirement pensions  superannuation and annuities  including those from registered retirement savings plans [RRSPs] and registered retirement income funds [RRIFs]) and other money income from market sources during the reference period. It is equivalent to total income minus government transfers. It is also referred to as income before transfers and taxes.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,For the 2016 Census  the reference period is the calendar year 2015 for all income variables.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
29, Employment income - All income received as wages  salaries and commissions from paid employment and net self-employment income from farm or non-farm unincorporated business and/or professional practice during the reference period.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,For the 2016 Census  the reference period is the calendar year 2015 for all income variables.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
30, Government transfers - All cash benefits received from federal  provincial  territorial or municipal governments during the reference period. It includes:,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *Old Age Security pension  Guaranteed Income Supplement  Allowance or Allowance for the Survivor;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *retirement  disability and survivor benefits from Canada Pension Plan and Québec Pension Plan;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *benefits from Employment Insurance and Québec parental insurance plan;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *child benefits from federal and provincial programs;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *social assistance benefits;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *workers' compensation benefits;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *Working income tax benefit;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *Goods and services tax credit and harmonized sales tax credit;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *other income from government sources.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,For the 2016 Census  the reference period is the calendar year 2015 for all income variables.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
31, Total income - The sum of certain incomes (in cash and  in some circumstances  in kind) of the statistical unit during a specified reference period. The components used to calculate total income vary between:,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *statistical units of social statistical programs such as persons  private households  census families and economic families;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *statistical units of business statistical programs such as enterprises  companies  establishments and locations;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *statistical units of farm statistical programs such as farm operator and farm family.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,In the context of persons  total income refers to receipts from certain sources  before income taxes and deductions  during a specified reference period.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,In the context of census families  total income refers to receipts from certain sources of all of its family members  before income taxes and deductions  during a specified reference period.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,In the context of economic families  total income refers to receipts from certain sources of all of its family members  before income taxes and deductions  during a specified reference period.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,In the context of households  total income refers to receipts from certain sources of all household members  before income taxes and deductions  during a specified reference period.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,The monetary receipts included are those that tend to be of a regular and recurring nature. Receipts that are included as income are:,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *employment income from wages  salaries  tips  commissions and net income from self-employment (for both unincorporated farm and non-farm activities);,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *income from investment sources  such as dividends and interest on bonds  accounts  guaranteed investment certificates (GICs) and mutual funds;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *income from employer and personal pension sources  such as private pensions and payments from annuities and registered retirement income funds (RRIFs);,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *other regular cash income  such as child support payments received  spousal support payments (alimony) received and scholarships;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *income from government sources  such as social assistance  child benefits  Employment Insurance benefits  Old Age Security benefits  Canada Pension Plan and Québec Pension Plan benefits and disability income.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,Receipts excluded from this income definition are:,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *one-time receipts  such as lottery winnings  gambling winnings  cash inheritances  lump-sum insurance settlements and tax-free savings account (TFSA) or registered retirement savings plan (RRSP) withdrawals;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *capital gains because they are not by their nature regular and recurring. It is further assumed that they are more relevant to the concept of wealth than the concept of income;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *employers' contributions to registered pension plans  Canada Pension Plan  Québec Pension Plan and Employment Insurance;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *voluntary inter-household transfers  imputed rent  goods and services produced for barter and goods produced for own consumption.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,For the 2016 Census  the reference period is the calendar year 2015 for all income variables.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
32, After-tax income - After-tax income refers to total income less income taxes of the statistical unit during a specified reference period. Income taxes refers to the sum of federal income taxes  provincial and territorial income taxes  less abatement where applicable. Provincial and territorial income taxes include health care premiums in certain jurisdictions. Abatement reduces the federal income taxes payable by persons residing in Quebec or in certain self-governing Yukon First Nation settlement lands.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,For the 2016 Census  the reference period is the calendar year 2015 for all income variables.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
33, Employment income - All income received as wages  salaries and commissions from paid employment and net self-employment income from farm or non-farm unincorporated business and/or professional practice during the reference period.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,For the 2016 Census  the reference period is the calendar year 2015 for all income variables.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
34, Total income - The sum of certain incomes (in cash and  in some circumstances  in kind) of the statistical unit during a specified reference period. The components used to calculate total income vary between:,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *statistical units of social statistical programs such as persons  private households  census families and economic families;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *statistical units of business statistical programs such as enterprises  companies  establishments and locations;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *statistical units of farm statistical programs such as farm operator and farm family.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,In the context of persons  total income refers to receipts from certain sources  before income taxes and deductions  during a specified reference period.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,In the context of census families  total income refers to receipts from certain sources of all of its family members  before income taxes and deductions  during a specified reference period.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,In the context of economic families  total income refers to receipts from certain sources of all of its family members  before income taxes and deductions  during a specified reference period.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,In the context of households  total income refers to receipts from certain sources of all household members  before income taxes and deductions  during a specified reference period.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,The monetary receipts included are those that tend to be of a regular and recurring nature. Receipts that are included as income are:,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *employment income from wages  salaries  tips  commissions and net income from self-employment (for both unincorporated farm and non-farm activities);,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *income from investment sources  such as dividends and interest on bonds  accounts  guaranteed investment certificates (GICs) and mutual funds;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *income from employer and personal pension sources  such as private pensions and payments from annuities and registered retirement income funds (RRIFs);,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *other regular cash income  such as child support payments received  spousal support payments (alimony) received and scholarships;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *income from government sources  such as social assistance  child benefits  Employment Insurance benefits  Old Age Security benefits  Canada Pension Plan and Québec Pension Plan benefits and disability income.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,Receipts excluded from this income definition are:,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *one-time receipts  such as lottery winnings  gambling winnings  cash inheritances  lump-sum insurance settlements and tax-free savings account (TFSA) or registered retirement savings plan (RRSP) withdrawals;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *capital gains because they are not by their nature regular and recurring. It is further assumed that they are more relevant to the concept of wealth than the concept of income;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *employers' contributions to registered pension plans  Canada Pension Plan  Québec Pension Plan and Employment Insurance;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *voluntary inter-household transfers  imputed rent  goods and services produced for barter and goods produced for own consumption.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,After-tax income - Total income less income taxes of the statistical unit during a specified reference period. Income taxes refers to the sum of federal income taxes  provincial and territorial income taxes  less abatement where applicable. Provincial and territorial income taxes include health care premiums in certain jurisdictions. Abatement reduces the federal income taxes payable by persons residing in Quebec or in certain self-governing Yukon First Nation settlement lands.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,For the 2016 Census  the reference period is the calendar year 2015 for all income variables.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,Median income - The median income of a specified group is the amount that divides the income distribution of that group into two halves  i.e.  the incomes of half of the units in that group are below the median  while those of the other half are above the median. Median incomes of households are calculated for all units  whether or not they had income.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
35, Total income - The sum of certain incomes (in cash and  in some circumstances  in kind) of the statistical unit during a specified reference period. The components used to calculate total income vary between:,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *statistical units of social statistical programs such as persons  private households  census families and economic families;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *statistical units of business statistical programs such as enterprises  companies  establishments and locations;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *statistical units of farm statistical programs such as farm operator and farm family.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,In the context of persons  total income refers to receipts from certain sources  before income taxes and deductions  during a specified reference period.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,In the context of census families  total income refers to receipts from certain sources of all of its family members  before income taxes and deductions  during a specified reference period.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,In the context of economic families  total income refers to receipts from certain sources of all of its family members  before income taxes and deductions  during a specified reference period.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,In the context of households  total income refers to receipts from certain sources of all household members  before income taxes and deductions  during a specified reference period.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,The monetary receipts included are those that tend to be of a regular and recurring nature. Receipts that are included as income are:,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *employment income from wages  salaries  tips  commissions and net income from self-employment (for both unincorporated farm and non-farm activities);,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,     *income from investment sources  such as dividends and interest on bonds  accounts  guaranteed investment certificates (GICs) and mutual funds;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *income from employer and personal pension sources  such as private pensions and payments from annuities and registered retirement income funds (RRIFs);,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *other regular cash income  such as child support payments received  spousal support payments (alimony) received and scholarships;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *income from government sources  such as social assistance  child benefits  Employment Insurance benefits  Old Age Security benefits  Canada Pension Plan and Québec Pension Plan benefits and disability income.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,Receipts excluded from this income definition are:,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *one-time receipts  such as lottery winnings  gambling winnings  cash inheritances  lump-sum insurance settlements and tax-free savings account (TFSA) or registered retirement savings plan (RRSP) withdrawals;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *capital gains because they are not by their nature regular and recurring. It is further assumed that they are more relevant to the concept of wealth than the concept of income;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *employers' contributions to registered pension plans  Canada Pension Plan  Québec Pension Plan and Employment Insurance;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *voluntary inter-household transfers  imputed rent  goods and services produced for barter and goods produced for own consumption.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,After-tax income - Total income less income taxes of the statistical unit during a specified reference period. Income taxes refers to the sum of federal income taxes  provincial and territorial income taxes  less abatement where applicable. Provincial and territorial income taxes include health care premiums in certain jurisdictions. Abatement reduces the federal income taxes payable by persons residing in Quebec or in certain self-governing Yukon First Nation settlement lands.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,For the 2016 Census  the reference period is the calendar year 2015 for all income variables.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,Average income - Average income of a specified group is calculated by dividing the aggregate income of that group by the number of units in that group. Average incomes of households are calculated for all units  whether or not they had income.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
36, Total income - The sum of certain incomes (in cash and  in some circumstances  in kind) of the statistical unit during a specified reference period. The components used to calculate total income vary between:,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *statistical units of social statistical programs such as persons  private households  census families and economic families;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *statistical units of business statistical programs such as enterprises  companies  establishments and locations;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *statistical units of farm statistical programs such as farm operator and farm family.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,In the context of persons  total income refers to receipts from certain sources  before income taxes and deductions  during a specified reference period.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,In the context of census families  total income refers to receipts from certain sources of all of its family members  before income taxes and deductions  during a specified reference period.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,In the context of economic families  total income refers to receipts from certain sources of all of its family members  before income taxes and deductions  during a specified reference period.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,In the context of households  total income refers to receipts from certain sources of all household members  before income taxes and deductions  during a specified reference period.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,The monetary receipts included are those that tend to be of a regular and recurring nature. Receipts that are included as income are:,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *employment income from wages  salaries  tips  commissions and net income from self-employment (for both unincorporated farm and non-farm activities);,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *income from investment sources  such as dividends and interest on bonds  accounts  guaranteed investment certificates (GICs) and mutual funds;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *income from employer and personal pension sources  such as private pensions and payments from annuities and registered retirement income funds (RRIFs);,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *other regular cash income  such as child support payments received  spousal support payments (alimony) received and scholarships;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *income from government sources  such as social assistance  child benefits  Employment Insurance benefits  Old Age Security benefits  Canada Pension Plan and Québec Pension Plan benefits and disability income.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,Receipts excluded from this income definition are:,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *one-time receipts  such as lottery winnings  gambling winnings  cash inheritances  lump-sum insurance settlements and tax-free savings account (TFSA) or registered retirement savings plan (RRSP) withdrawals;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *capital gains because they are not by their nature regular and recurring. It is further assumed that they are more relevant to the concept of wealth than the concept of income;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *employers' contributions to registered pension plans  Canada Pension Plan  Québec Pension Plan and Employment Insurance;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *voluntary inter-household transfers  imputed rent  goods and services produced for barter and goods produced for own consumption.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,For the 2016 Census  the reference period is the calendar year 2015 for all income variables.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
37, Total income - The sum of certain incomes (in cash and  in some circumstances  in kind) of the statistical unit during a specified reference period. The components used to calculate total income vary between:,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *statistical units of social statistical programs such as persons  private households  census families and economic families;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *statistical units of business statistical programs such as enterprises  companies  establishments and locations;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *statistical units of farm statistical programs such as farm operator and farm family.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,In the context of persons  total income refers to receipts from certain sources  before income taxes and deductions  during a specified reference period.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,In the context of census families  total income refers to receipts from certain sources of all of its family members  before income taxes and deductions  during a specified reference period.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,In the context of economic families  total income refers to receipts from certain sources of all of its family members  before income taxes and deductions  during a specified reference period.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,In the context of households  total income refers to receipts from certain sources of all household members  before income taxes and deductions  during a specified reference period.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,The monetary receipts included are those that tend to be of a regular and recurring nature. Receipts that are included as income are:,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *employment income from wages  salaries  tips  commissions and net income from self-employment (for both unincorporated farm and non-farm activities);,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *income from investment sources  such as dividends and interest on bonds  accounts  guaranteed investment certificates (GICs) and mutual funds;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *income from employer and personal pension sources  such as private pensions and payments from annuities and registered retirement income funds (RRIFs);,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *other regular cash income  such as child support payments received  spousal support payments (alimony) received and scholarships;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *income from government sources  such as social assistance  child benefits  Employment Insurance benefits  Old Age Security benefits  Canada Pension Plan and Québec Pension Plan benefits and disability income.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,Receipts excluded from this income definition are:,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *one-time receipts  such as lottery winnings  gambling winnings  cash inheritances  lump-sum insurance settlements and tax-free savings account (TFSA) or registered retirement savings plan (RRSP) withdrawals;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *capital gains because they are not by their nature regular and recurring. It is further assumed that they are more relevant to the concept of wealth than the concept of income;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *employers' contributions to registered pension plans  Canada Pension Plan  Québec Pension Plan and Employment Insurance;,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,    *voluntary inter-household transfers  imputed rent  goods and services produced for barter and goods produced for own consumption.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,After-tax income - Total income less income taxes of the statistical unit during a specified reference period. Income taxes refers to the sum of federal income taxes  provincial and territorial income taxes  less abatement where applicable. Provincial and territorial income taxes include health care premiums in certain jurisdictions. Abatement reduces the federal income taxes payable by persons residing in Quebec or in certain self-governing Yukon First Nation settlement lands.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,For the 2016 Census  the reference period is the calendar year 2015 for all income variables.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
,Median income - The median income of a specified group is the amount that divides the income distribution of that group into two halves  i.e.  the incomes of half of the units in that group are below the median  while those of the other half are above the median. Median incomes of families are calculated for all units  whether or not they had income.,NA,NA,NA,NA,,NA,,NA,NA,NA,,NA,
